,Address,Area,City,HomeType,isNew,Latitude,Longitude,PostalCode,Price,ID,PaymentOnAccount,DistanceToShopping,DistanceToTransportation,DistanceToSchool,DistanceToForest,DistanceToWater,Balcony,Floors,Rooms,Toilets,Connection,LivingArea,YearOfConstruction,EstateValue,EnergyRating,Level,GroundArea,LandValue,Sewers,Basement,PriceDevelopment,Accessories,Heating,Windows,YearOfValuation,Exterior,NetOwnerFee,GrossOwnerFee
0,"A.D. Jørgensens Vej 75, 2. 1.",35.0,Frederiksberg,Ejerlejlighed,False,55.6807262022091,12.494705016954802,2000,1.350.000 ,1300000111,,1.100  m,150  m,2.600  m,,,No,1,1,1,,35  m2,1991,780.000,B,2,,168.300,,,-7%,Alle nuværende hårde hvidevarer i lejligheden medfølger.,,,2018,,5.249  , 4.628  kr.
1,"Holger Danskes Vej 14, 3. th.",46.0,Frederiksberg,Ejerlejlighed,False,55.68661470519179,12.5383560516643,2000,2.145.000 ,1740000062,,150  m,150  m,100  m,,,,1,2,1,,46  m2,1885,1.100.000,D,3,,145.000,,,-6%,Intuition gaskomfur komfur  - Matsui Fridge Double door køle/fryseskab  - 2017,,,2018,,8.313  , 7.331  kr.
11,"Lyøvej 5, st.. tv.",60.0,Frederiksberg,Ejerlejlighed,False,55.682939540232894,12.5245272934569,2000,2.875.000 ,1300000128,,650  m,100  m,550  m,,,No,1,2,1,,77  m2,1988,1.600.000,C,3,,259.100,,,-4%,emhætte -  bordkomfur glaskeramisk -  indbygningsovn -  køle/fryseskab -  opvaskemaskine -  vaskemaskine -,,,2018,,10.446  , 9.212  kr.
12,"H. Schneekloths Vej 13, 5. th.",56.0,Frederiksberg,Ejerlejlighed,False,55.6799278798822,12.506927295555,2000,2.750.000 ,130D01015,,50  m,150  m,550  m,,,Yes,1,2,1,,74  m2,1972,1.350.000,D,2,,164.300,,,0%,De i lejligheden hårde hvidevarer medfølger i handlen.,,,2018,,10.075  , 8.884  kr.
30,"Howitzvej 61, 3. th.",67.0,Frederiksberg,Ejerlejlighed,True,55.6802086188097,12.523998154930402,2000,3.195.000 ,1300000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"Yrsavej 9, st.. th.",67.0,Frederiksberg,Ejerlejlighed,True,55.683339277010404,12.5316135243577,2000,3.495.000 ,1300000183,,650  m,110  m,,,,Yes,1,5,1,,104  m2,1936,1.950.000,D,2,,427.800,,,-2%,Falmec  emhætte - 2018Siemens  bordkomfur - 2018Asko indbygningsovn  - 2018Siemens  køle/fryseskab  - 2018Siemens  opvaskemaskine - 2018Der er to Asko ovne. En almindelig og en kombi m. mikroovn og varmluftsovn. Der medfølger også en Quooker fra 2018,,,2018,,15.837  , 13.969  kr.
32,"Seedorffs Vænge 6, 3. th.",69.0,Frederiksberg,Ejerlejlighed,False,55.6839117374975,12.5236221944959,2000,3.195.000 ,1300000169,,100  m,50  m,300  m,,,,1,3,,Kabel-tv,103  m2,1934,1.950.000,D,2,,330.800,,,-5%,Emhætte af mrk. Thermex - Glaskeramisk komfur af mrk. Voss med induktion - Køle/fryseskab af mrk. Vestfrost - Opvaskemaskine af mrk. Siemens fra 2018 - Vaskemaskine af mrk. Bosch fra 2016,,Termo,2017,Mursten,13.912  , 12.270  kr.
33,"Roskildevej 55, 3. 313.",67.0,Frederiksberg,Ejerlejlighed,False,55.6719708563569,12.5119925390722,2000,2.425.000 ,1300000152,,50  m,100  m,100  m,,,Yes,1,4,1,,120  m2,2002,2.800.000,B,2,,219.200,,,0%,emhætte - 2002AEG bordkomfur induktion - 2014Voss indbygningsovn - 2002AEG køle/fryseskab - 2002AEG opvaskemaskine - 2014Miele vaskemaskine - 2014Miele tørretumbler - 2014,,,2018,,21.726  , 19.168  kr.
34,"Mariendalsvej 10, st.. tv.",66.0,Frederiksberg,Ejerlejlighed,False,55.68838363863421,12.5401287199528,2000,2.595.000 ,1280000016,,250  m,150  m,750  m,,,,1,4,,YouSee,113  m2,1902,2.550.000,D,,,161.900,,27  m2,-8%,Zanussi emhætteWasco komfurGram køle-/fryseskabBosch opvaskemaskineSiemens tørretumblerKlædeskab - 2 i soveværelset og 1 i bryggersetAlt indbo i lejligheden medfølger uden ekstra beregning til køber.,,Forsatsvinduer,2017,Mursten,17.013  , 15.007  kr.
60,"Roskildevej 114, st.. tv.",78.0,Frederiksberg,Ejerlejlighed,True,55.67259135699471,12.4986256859414,2000,2.195.000 ,1280000085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"H. Schneekloths Vej 33, 1. 3.",71.0,Frederiksberg,Ejerlejlighed,False,55.6814342527903,12.5077597623635,2000,2.495.000 ,1280000070,,300  m,300  m,,,,Yes,1,3,1,,91  m2,1938,1.950.000,D,1,,466.100,,,0%,Siemens gaskomfur - år 2010Siemens ovn - år 2010Siemens opvaskemaskine - år 2010Blomberg køle-/fryseskab - år 2010Blomberg emhætte - år 2010Miele vaskemaskine - år 2010Miele tørretumbler - år 2010Herudover medfølger persiennerne i handlen.,,Enkeltlags med Optoglas,2018,Pudset,18.345  , 16.062  kr.
62,"Seedorffs Vænge 2, 3. 3.",77.0,Frederiksberg,Ejerlejlighed,False,55.6837400052919,12.523922334605599,2000,2.695.000 ,1300000138,,300  m,150  m,300  m,,,,1,3,1,,94  m2,1964,1.850.000,C,,,991.000,,,0%,Witt Wif bordkomfur - (2013)Gorenje indbygningsovn - (2016)Siemens opvaskemaskine - (2017)Siemens køle-/fryseskab - Askø emhætte - Miele vaskemaskine - (2012)AEG tørretumbler - (2017),,Termo,2018,Mursten,16.591  , 14.524  kr.
63,"Borups Alle 113, 2. k.",74.0,Frederiksberg,Ejerlejlighed,False,55.6932541269622,12.5335411933203,2000,2.595.000 ,1300000122,,200  m,200  m,,,,,2,3,2,,98  m2,1956,146.000.000,D,2,,19.108.300,,,0%,,,Termo,2018,Mursten,,
64,"Aksel Møllers Have 30, 1. mf.",72.0,Frederiksberg,Ejerlejlighed,False,55.685154726271,12.531215658494801,2000,2.995.000 ,1280000045,,200  m,200  m,300  m,,,Yes,1,3,1,,93  m2,1938,2.050.000,C,1,,290.100,,,-3%,Blomberg bordkomfur - Blomberg indbygningsovn - Liebherr køle-/fryseskab - Blomberg emhætte - Samsung vaskemaskine -,,Termo,2018,Mursten,14.295  , 12.514  kr.
65,"Dalgas Boulevard 89, 3. tv.",80.0,Frederiksberg,Ejerlejlighed,False,55.681503577094,12.5104777628001,2000,3.395.000 ,1740000061,,100  m,,,,,Yes,1,4,1,,99  m2,1911,2.200.000,C,3,,166.100,,,-5%,"Smeg komfur, gas - mere en 10årBosch køle/fryseskab - mere end 5 årUkendt emhætte - mere end 10årElektrolux vaskemaskine - ca. 4år",,,2018,,19.301  , 16.898  kr.
66,"Borups Alle 113, 1. K.",74.0,Frederiksberg,Ejerlejlighed,False,,,2000,2.599.000 ,174K00120,,300  m,50  m,700  m,,,Yes,1,4,1,,100  m2,1926,1.950.000,D,1,,111.500,,,-10%,"Voss komfur (2018), Asko opvaskemaskine (2010), Gram køle/fryseskab (2010), IKEA emhætte (2018), Asko vaskemaskine (2005), Blomberg tørretumbler (2005)",,Termo,2018,"Mursten (tegl, kalksten, cementsten)",15.932  , 13.949  kr.
87,"Falkoner Alle 98, 3. th.",82.0,Frederiksberg,Andelsbolig,False,55.6861638625,12.5398049026935,2000,2.495.000 ,1300000148,1.300  kr.,220  m,,100  m,,50  m,Yes,1,3,,,112  m2,2019,,A10,4,,,,,,,,,,,,
88,"Roskildevej 96, 4. th.",85.0,Frederiksberg,Ejerlejlighed,False,55.672671484489605,12.500767410833198,2000,2.695.000 ,1280000054,,200  m,100  m,300  m,,,No,1,5,2,,130  m2,1931,2.600.000,E,,,462.600,,,-3%,Elektrolux (IKEA) komfur - 2016Elektrolux (IKEA) indbygningsovn - 2016Whirlpool (IKEA) opvaskemaskine - 2016Whirlpool (IKEA) køle-/fryseskab  - 2016IKEA emhætte - 2016Whirlpool (IKEA) vaskemaskine - 2016,,Termo,2018,Mursten,21.035  , 18.418  kr.
89,"Pile Alle 37, st.. tv.",88.0,Frederiksberg,Ejerlejlighed,False,55.6690200215934,12.530857047219,2000,3.695.000 ,1300000088,,,,,,500  m,Yes,1,4,1,,129  m2,1957,2.950.000,D,1,,544.100,,,0%,Bosch vaskemaskineVoss emhætteElectrolux køle-/fryseskabMiele opvaskemaskineMoulinex mikrobølgeovnVoss indbygningsovnVoss kogeplade,,,2018,,19.281  , 16.880  kr.
124,"Rådmand Steins Alle 21, st.. th.",97.0,Frederiksberg,Ejerlejlighed,True,55.6728674203122,12.497651001150802,2000,2.950.000 ,1740000107,,100  m,50  m,200  m,,,,,3,1,YouSee,73  m2,1909,1.300.000,D,,,58.300,,,0%,EmhætteBordkomfurIndbygningsovn,,Termo,2018,Mursten,8.536  , 7.471  kr.
125,"Mariendalsvej 32C, 3. th.",96.0,Frederiksberg,Andelsbolig,True,55.690041964587095,12.5370749394777,2000,2.470.086 ,1740000095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Frederik VI's Alle 3, 4. th.",98.0,Frederiksberg,Ejerlejlighed,True,55.6767394146239,12.531497946677598,2000,5.875.000 ,1740000090,,200  m,200  m,400  m,,,,1,3,1,Kabel-tv,75  m2,1878,1.850.000,C,2,,141.100,,,-6%,Elektrolux vaskemaskineVoss ovnElektrolux køle/fryseskab,,Termo,2018,Mursten,12.774  , 11.182  kr.
127,"Vagtelvej 55, 5. tv.",99.0,Frederiksberg,Ejerlejlighed,False,55.6932169685824,12.5215184123925,2000,3.595.000 ,1300000168,,300  m,300  m,500  m,,,,1,4,1,Individuelt,90  m2,1899,16.100.000,D,2,411  m2,1.839.300,,,0%,Vestfrost køleskab - Gorenje komfur - Whirlpool ovn - Bosch opvaskemaskine - Electrolux vaskemaskine - Gorenje emhætte -,,Termo,2018,Mursten,,
128,"Seedorffs Vænge 8, 3. th.",97.0,Frederiksberg,Ejerlejlighed,False,55.683950828753005,12.523416426828899,2000,4.795.000 ,1300000160,,300  m,300  m,500  m,,,,1,3,1,Parknet Kabel-TV individuelt,86  m2,1889,1.950.000,D,4,,81.400,,,-2%,Miele vaskemaskineIkea kogepladerBosch ovnIkea køleskab,,Termo,2017,Mursten,16.221  , 14.201  kr.
129,Porcelænshaven 3R,100.0,Frederiksberg,Rækkehus,False,55.6785184810335,12.5236502890995,2000,6.395.000 ,1300000146,,100  m,100  m,300  m,,,,1,4,1,Kabel-tv,83  m2,1901,1.550.000,D,4,,89.100,,,-3%,Voss gasblusSiemens opvaskemaskineVoss indbygningsovnBosch vaskemaskine,,Termo,2018,Mursten,14.313  , 12.530  kr.
130,"Pile Alle 5B, st.. tv.",97.0,Frederiksberg,Ejerlejlighed,False,55.673364992138396,12.532301501254999,2000,4.295.000 ,1300000065,,300  m,300  m,200  m,,,,,4,1,Kabel-TV - YouSee,93  m2,1892,2.050.000,D,,,95.200,,,0%,,,Termo,2018,Mursten,18.345  , 16.062  kr.
131,"Pile Alle 5B, 2. 1.",95.0,Frederiksberg,Ejerlejlighed,False,55.673364992138396,12.532301501254999,2000,4.695.000 ,1300000072,,300  m,200  m,500  m,,,,,3,1,Kabel-tv,91  m2,1906,1.600.000,D,,,112.200,,,0%,Indesit opvaskemaskineGram køleskabVoss ovn,,Termo,2018,Mursten,14.128  , 12.369  kr.
132,"Porcelænshaven 4E, 1. tv.",93.0,Frederiksberg,Ejerlejlighed,False,55.6788789475327,12.522890092509902,2000,5.475.000 ,128K00032,,100  m,50  m,,,,,,4,1,Individuelt,98  m2,1910,1.700.000,C,3,,147.100,,,0%,VaskemaskineTørretumblerBordgasblusIndbygsningovnEmhætteKøle/fryseskab,,Termo,2018,Mursten,17.785  , 15.571  kr.
133,"Vagtelvej 47, 2. th.",99.0,Frederiksberg,Ejerlejlighed,False,55.693009957007106,12.5224054146934,2000,3.695.000 ,102L00357,,200  m,100  m,400  m,,,Yes,1,4,1,Kabel-tv,100  m2,1906,1.850.000,D,1,,128.200,,,0%,AEG vaskemaskineBosch køleskabSiemens opvaskemaskineGorenje ovnSMEG gasblus,,Termo,2018,Mursten,16.625  , 14.555  kr.
164,"Nordre Fasanvej 33B, st.. th.",104.0,Frederiksberg,Ejerlejlighed,True,55.682804604986494,12.5231682681297,2000,4.695.000 ,1300000054,,300  m,60  m,400  m,,,,,1,1,Individuelt tilslutning,60  m2,1970,880.000,C,2,,156.200,,,-4%,Gram komfur glaskeramisk - 2018Candy køle/fryseskab - 2018Indbygget klædeskab i gangen medfølger,,Termovinduer,2018,Betonelementer,8.520  , 7.456  kr.
165,"Nyelandsvej 30, 4.",110.0,Frederiksberg,Andelsbolig,False,55.68322812797621,12.530149334396999,2000,1.191.809 ,1380000120,,100  m,150  m,,,900  m,,,2,1,Yousee,59  m2,1932,1.000.000,D,2,,113.400,,,0%,,,Termo,2018,,9.103  , 7.968  kr.
166,"C.F. Richs Vej 90, 2. tv.",104.0,Frederiksberg,Ejerlejlighed,False,55.6870262639345,12.504791453968801,2000,4.095.000 ,1280000023,,,,1.000  m,,,,1,4,1,Individuelt,56  m2,1973,530.000,G,,336  m2,0,,,-6%,Hårde hvidevarer medfølger uden ansvar for funktionsdygtigheden.,,Termo,2017,Træbeklædning,9.677  , 8.470  kr.
167,"Peter Bangs Vej 101, 2. tv.",103.0,Frederiksberg,Ejerlejlighed,False,55.67839978312139,12.4998738507316,2000,3.595.000 ,128O00051,,,,,,1.700  m,No,1,2,1,,60  m2,1932,1.000.000,C,4,,93.400,,,-7%,"Køleskab mrk. Gram, Ovn mrk.Blomberg, Kogeplade mrk. Blomberg, Vaskemaskine mrk. Bosch. Alle hårde hvidevarer af ældre dato.",,Termovinduer,2018,,7.186  , 6.289  kr.
186,"Emil Slomanns Vej 1B, 2. th.",120.0,Frederiksberg,Ejerlejlighed,True,55.6791534535775,12.5078540959992,2000,5.625.000 ,1300000182,600  kr.,750  m,300  m,,,,,1,2,,,60  m2,2020,,,3,,,,,,,,,,,,
187,"Howitzvej 61, st..",113.0,Frederiksberg,Ejerlejlighed,False,55.6802086188097,12.523998154930402,2000,4.395.000 ,128Q00003,600  kr.,750  m,300  m,,,,,1,2,,,60  m2,2020,,,4,,,,,,,,,,,,
204,"Kronprinsesse Sofies Vej 17, 2. tv.",131.0,Frederiksberg,Ejerlejlighed,False,55.68870517879851,12.533247445368,2000,5.895.000 ,1740000070,900  kr.,150  m,300  m,1.800  m,,,,1,2,,,67  m2,2019,,,,,,,,,,,,,,,
222,"C.F. Richs Vej 87, kld..",166.0,Frederiksberg,Ejerlejlighed,False,55.6866310942511,12.505747494674699,2000,2.995.000 ,130Q00005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,"Drejøgade 26C, 5. 504.",39.0,København Ø,Ejerlejlighed,False,55.711189795615,12.5721953640941,2100,1.595.000 ,1270000053,700  kr.,400  m,700  m,750  m,,,,1,3,,,70  m2,2020,,,,,,,,,,,,,,,
252,"Blegdamsvej 120, 4. tv.",50.0,København Ø,Ejerlejlighed,True,55.698054017591296,12.5750832968957,2100,2.895.000 ,1260000045,,100  m,,600  m,,2.000  m,,1,3,1,,74  m2,1902,1.350.000,D,2,,82.600,,,0%,"Køle-/fryseskab (Boch), Ovn (Bosch), Kogeplade (Bosch), Opvaskemaskine (Bosch), Emhætte (Bosch).  Tørretumbler og vaskemaskine medfølger ikke.",,Termo,2018,Mursten,11.603  , 10.156  kr.
253,"Hjørringgade 11, 5. tv.",41.0,København Ø,Ejerlejlighed,False,55.7063176396255,12.5876486886083,2100,2.330.000 ,126A00834,,200  m,200  m,300  m,,200  m,Yes,1,2,1,Individuel tilslutning,80  m2,2006,2.000.000,C,5,,406.400,,,-3%,Bosch køle- fryseskabBosch opvaskemaskineBosch indbygningsovnBosck kogepladeUkendt emhætteAEG vaskemaskine,,Termo,2018,,13.724  , 12.015  kr.
266,"Holsteinsgade 58, st.. tv..",59.0,København Ø,Ejerlejlighed,True,55.6998297371926,12.5887748150072,2100,2.795.000 ,1260000109,900  kr.,150  m,300  m,1.800  m,,,,1,2,,,78  m2,2019,,,7,,,,,,,,,,,,
267,"Rønnegade 10, st.. mf.",54.0,København Ø,Ejerlejlighed,False,55.7073044120439,12.5577604167541,2100,2.095.000 ,1270000067,850  kr.,400  m,700  m,750  m,,,,1,3,,,80  m2,2020,,,1,,,,,,,,,,,,
268,"Fiskedamsgade 20, st.. th..",53.0,København Ø,Ejerlejlighed,False,55.699963908999,12.5876340339012,2100,2.495.000 ,1260000117,750  kr.,400  m,700  m,750  m,,,,1,3,,,72  m2,2020,,,,,,,,,,,,,,,
269,"Marstalsgade 23, 1. tv.",55.0,København Ø,Ejerlejlighed,False,55.7038885237607,12.5868177313987,2100,2.595.000 ,1260000098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,"Lange-Müllers Gade 21, 3. tv.",57.0,København Ø,Ejerlejlighed,False,55.712205911934994,12.5669311041427,2100,2.499.000 ,101D00243,700  kr.,400  m,700  m,750  m,,,,1,3,,,71  m2,2020,,,,,,,,,,,,,,,
271,"Marstalsgade 16, 4. th.",55.0,København Ø,Ejerlejlighed,False,55.7036407767467,12.586517141570498,2100,2.695.000 ,1260000051,800  kr.,400  m,700  m,750  m,,,,1,3,,,74  m2,2020,,,,,,,,,,,,,,,
302,"Herninggade 13, 5. th.",64.0,København Ø,Ejerlejlighed,True,55.7077878109793,12.588204793679399,2100,2.995.000 ,1260000151,850  kr.,400  m,700  m,750  m,,,,1,3,,,82  m2,2020,,,3,,,,,,,,,,,,
303,"Løgstørgade 37, 3. tv.",68.0,København Ø,Ejerlejlighed,False,55.7088649521657,12.5843629316427,2100,3.395.000 ,1260000129,1.000  kr.,800  m,500  m,450  m,,,,1,4,,,81  m2,2017,,A15,,,,,,,,,,,,,
304,"Drejøgade 28, 6. 604.",69.0,København Ø,Ejerlejlighed,False,55.711691703164995,12.5716584513886,2100,2.850.000 ,1420000134,900  kr.,10  m,350  m,1.500  m,,,,1,1,,,81  m2,,,,2,,,,,,,,,,,,
